"","gene","chr","start","end","clade","avg_count","baseMean","log2FoldChange","padj","family","genome","id"
"66","L1HS","chr5",1968619,1971481,"LINE",6.57480708770677,109.316043718361,5.33276852467147,2.6416799032966e-21,"L1","hg38","L1HS_range=chr5:1968619-1971481"
"67","L1HS","chr9",77398831,77399209,"LINE",7.75328663242507,109.316043718361,5.33276852467147,2.6416799032966e-21,"L1","hg38","L1HS_range=chr9:77398831-77399209"
"68","L1M2","chr3",165734628,165738245,"LINE",35.3467748815484,199.184954710326,5.48348572379753,1.429514598307e-27,"L1","hg38","L1M2_range=chr3:165734628-165738245"
"69","L1M4","chr15",32737957,32738680,"LINE",11.1541045077058,228.793831742565,5.73960086685871,7.55334432195312e-38,"L1","hg38","L1M4_range=chr15:32737957-32738680"
"70","L1M4","chr11",65179867,65180093,"LINE",8.45105298839511,228.793831742565,5.73960086685871,7.55334432195312e-38,"L1","hg38","L1M4_range=chr11:65179867-65180093"
"71","L1M5","chrX",103377820,103378035,"LINE",10.2253227335353,239.974238047742,4.90061636744676,2.48780145956147e-34,"L1","hg38","L1M5_range=chrX:103377820-103378035"
"72","L1M5","chr6",26114324,26114748,"LINE",8.9297049369011,239.974238047742,4.90061636744676,2.48780145956147e-34,"L1","hg38","L1M5_range=chr6:26114324-26114748"
"73","L1MA4","chr11",3538795,3541002,"LINE",4.6650617734002,182.064156743418,5.26440332900566,1.59561423033905e-32,"L1","hg38","L1MA4_range=chr11:3538795-3541002"
"74","L1MA4A","chr4",68133970,68135195,"LINE",12.9514348260436,170.251652934283,5.85456977351802,1.44023345012019e-33,"L1","hg38","L1MA4A_range=chr4:68133970-68135195"
"75","L1MC1","chr4",166602972,166605929,"LINE",19.4752066609578,197.069071925209,5.00962907430837,9.38063954409e-33,"L1","hg38","L1MC1_range=chr4:166602972-166605929"
"76","L1MC2","chr20",19055161,19056401,"LINE",4.68762436967249,72.8454699252675,5.27313170112654,1.07346419075169e-18,"L1","hg38","L1MC2_range=chr20:19055161-19056401"
"78","L1MCa","chr4",83086831,83087450,"LINE",9.90252063628121,141.297408835327,4.72232459974039,3.63681712237616e-22,"L1","hg38","L1MCa_range=chr4:83086831-83087450"
"79","L1MD1","chr2",116259774,116260275,"LINE",36.1785206617176,124.552487632637,5.89848423284398,1.60394575209667e-33,"L1","hg38","L1MD1_range=chr2:116259774-116260275"
"80","L1ME1","chr10",98441313,98442494,"LINE",4.60541792739595,328.553616641594,4.87468936825728,1.00219700886891e-34,"L1","hg38","L1ME1_range=chr10:98441313-98442494"
"81","L1ME1","chr7",137540701,137541276,"LINE",2.18205162134349,328.553616641594,4.87468936825728,1.00219700886891e-34,"L1","hg38","L1ME1_range=chr7:137540701-137541276"
"82","L1ME2","chr12",101199567,101200405,"LINE",59.6485271120322,134.188939692305,4.6925963672786,3.10101655222587e-30,"L1","hg38","L1ME2_range=chr12:101199567-101200405"
"83","L1ME4b","chr6",26138288,26138698,"LINE",54.4506879720551,110.491271300235,4.46515947771827,7.57190247341452e-24,"L1","hg38","L1ME4b_range=chr6:26138288-26138698"
"84","L1MEc","chr11",43143473,43143667,"LINE",11.6090131269497,243.095325430295,6.13611522447726,8.90305077436438e-32,"L1","hg38","L1MEc_range=chr11:43143473-43143667"
"85","L1P1",NA,64718,67007,"LINE",6.76729741904151,82.7923047171012,5.41901204691157,1.59722243958397e-21,"L1","hg38","L1P1_range=NA:64718-67007"
"86","L1PA12","chr2",199701202,199701766,"LINE",27.269325927021,65.0166829905382,4.74356970851833,7.15296714515711e-19,"L1","hg38","L1PA12_range=chr2:199701202-199701766"
"87","L1PA6","chrX",75859584,75863371,"LINE",14.3000108695516,385.634554539619,5.07270263497043,3.41715959255851e-31,"L1","hg38","L1PA6_range=chrX:75859584-75863371"
"88","L1PA7","chrX",142719296,142720953,"LINE",1.78436163188516,674.154032953369,4.9322316649883,1.22378523348953e-32,"L1","hg38","L1PA7_range=chrX:142719296-142720953"
"89","L1PA7","chrX",79196566,79201431,"LINE",2.20730868146586,674.154032953369,4.9322316649883,1.22378523348953e-32,"L1","hg38","L1PA7_range=chrX:79196566-79201431"
"90","L1PA8","chr2",35477664,35482933,"LINE",6.35583025488093,212.145587000481,4.79794480338588,1.01944215204931e-24,"L1","hg38","L1PA8_range=chr2:35477664-35482933"
"91","L1PB1","chr3",155535023,155541393,"LINE",7.67117972573123,522.455033130401,4.91356056330955,8.06661741669554e-28,"L1","hg38","L1PB1_range=chr3:155535023-155541393"
